"idPro"	"name"	"img"	"quantity"	"status"	"detailPro"	"price"	"idCatItem"
"1"	"GIÀY BOOT NAM ĐẾ CAO MÀU VÀNG PALA GN400"	"img/product/Nam/Boots/b1.1.png"	"3"	"1"	"Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"550000"	"1"
"2"	"GIÀY BOOT NAM MÀU TRƠN KHÔNG CÓ DÂY KÉO"	"img/product/Nam/Boots/b2.1.png"	"2"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"806000"	"1"
"3"	"NAM GIÀY ỐNG CHELSEA SUEDETTE MẶC VÀO"	"img/product/Nam/Boots/b3.1.png"	"8"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"623000"	"1"
"4"	"GIÀY BOOT NAM MÀU TRƠN DÂY KÉO BÊN"	"img/product/Nam/Boots/b4.png"	"10"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"750000"	"1"
"5"	"NAM GIÀY ỐNG TÂY COMBAT SUEDETTE MẶT TRƯỚC THẮT DÂY"	"img/product/Nam/Boots/b5.png"	"10"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"189000"	"1"
"6"	"GIÀY BOOT NAM TƯƠNG PHẢN LÔNG THÚ GIẢ MÀU TRƠN KHÔNG CÓ DÂY KÉO"	"img/product/Nam/Boots/b6.png"	"12"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"420000"	"1"
"7"	"GIÀY BOOT NAM - CHELSEA BOOTS NAM RIO GN390"	"img/product/Nam/Boots/b7.png"	"12"	"1"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"700000"	"1"
"8"	"GIÀY BOOT NAM MÀU CÁT PLG GN388"	"img/product/Nam/Boots/b7.png"	"12"	"0"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"440000"	"1"
"9"	"GIÀY BOOT NAM MÀU CÁT IQI GN385"	"img/product/Nam/Boots/b8.png"	"13"	"0"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"440000"	"1"
"10"	"NAM GIÀY ỐNG CHELSEA SUEDETTE MẶC VÀO"	"img/product/Nam/Boots/b9.png"	"7"	"0"	" Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"440000"	"1"
"11"	"SANDAL NAM DEM012300NAU (NÂU)"	"img/product/Nam/Sandal/s1.png"	"4"	"1"	"Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"383000"	"2"
"12"	"SANDAL NAM DEM012300DEN (ĐEN)"	"img/product/Nam/Sandal/s2.png"	"5"	"1"	"Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"383000"	"2"
"13"	"SANDAL EVA PHUN NAM BITI'S HUNTER DEMH01200XAM (XÁM)"	"img/product/Nam/Sandal/s3.png"	"10"	"1"	"Loại Giày: đi chơi, dạo phố..... Bảo hành keo 12 tháng Giao Hàng Tận Nơi Toàn Quốc Nhận Hàng Trả Tiền Sản phẩm giống hình 100%..."	"452000"	"2"
